run_id,request_id,agent,input_tokens,output_tokens,total_tokens,timestamp
20260706_211503,1,inventory_agent,798,364,1162,20260706 211515
20260706_211503,1,sales_agent,1136,108,1244,20260706 211522
20260706_211503,1,sales_agent,1132,108,1240,20260706 211524
20260706_211503,1,sales_agent,1141,107,1248,20260706 211525
20260706_211503,1,quoting_agent,682,53,735,20260706 211529
20260706_211503,1,orchestrator,6821,278,7099,20260706 211532
20260706_211503,2,inventory_agent,798,364,1162,20260706 211546
20260706_211503,2,quoting_agent,682,53,735,20260706 211551
20260706_211503,2,sales_agent,1156,112,1268,20260706 211552
20260706_211503,2,orchestrator,4776,200,4976,20260706 211554
20260706_211503,3,inventory_agent,798,378,1176,20260706 211608
20260706_211503,3,quoting_agent,313,34,347,20260706 211611
20260706_211503,3,orchestrator,4761,131,4892,20260706 211613
20260706_211503,4,inventory_agent,798,373,1171,20260706 211626
20260706_211503,4,sales_agent,1139,112,1251,20260706 211633
20260706_211503,4,sales_agent,1136,109,1245,20260706 211633
20260706_211503,4,quoting_agent,682,52,734,20260706 211637
20260706_211503,4,orchestrator,6662,223,6885,20260706 211639
20260706_211503,5,inventory_agent,798,363,1161,20260706 211650
20260706_211503,5,sales_agent,1132,106,1238,20260706 211656
20260706_211503,5,quoting_agent,682,53,735,20260706 211657
20260706_211503,5,sales_agent,1132,106,1238,20260706 211659
20260706_211503,5,orchestrator,4870,235,5105,20260706 211701
20260706_211503,6,inventory_agent,798,348,1146,20260706 211712
20260706_211503,6,sales_agent,1132,106,1238,20260706 211718
20260706_211503,6,quoting_agent,682,52,734,20260706 211723
20260706_211503,6,orchestrator,4693,198,4891,20260706 211723
20260706_211503,7,inventory_agent,798,550,1348,20260706 211736
20260706_211503,7,sales_agent,1158,117,1275,20260706 211743
20260706_211503,7,sales_agent,1136,107,1243,20260706 211744
20260706_211503,7,quoting_agent,682,53,735,20260706 211749
20260706_211503,7,orchestrator,7359,268,7627,20260706 211751
20260706_211503,8,inventory_agent,759,307,1066,20260706 211801
20260706_211503,8,orchestrator,2983,116,3099,20260706 211803
20260706_211503,9,inventory_agent,759,319,1078,20260706 211812
20260706_211503,9,quoting_agent,682,53,735,20260706 211820
20260706_211503,9,inventory_agent,759,336,1095,20260706 211821
20260706_211503,9,sales_agent,1136,110,1246,20260706 211821
20260706_211503,9,sales_agent,1136,113,1249,20260706 211822
20260706_211503,9,orchestrator,5137,259,5396,20260706 211823
20260706_211503,10,inventory_agent,742,290,1032,20260706 211836
20260706_211503,10,sales_agent,1136,108,1244,20260706 211841
20260706_211503,10,sales_agent,1132,106,1238,20260706 211843
20260706_211503,10,quoting_agent,682,53,735,20260706 211847
20260706_211503,10,orchestrator,6381,219,6600,20260706 211849
20260706_211503,11,inventory_agent,726,303,1029,20260706 211900
20260706_211503,11,sales_agent,1132,101,1233,20260706 211906
20260706_211503,11,quoting_agent,682,52,734,20260706 211910
20260706_211503,11,orchestrator,6546,262,6808,20260706 211912
20260706_211503,12,inventory_agent,710,287,997,20260706 211921
20260706_211503,12,orchestrator,2893,86,2979,20260706 211923
20260706_211503,13,inventory_agent,710,273,983,20260706 211933
20260706_211503,13,orchestrator,2879,84,2963,20260706 211935
20260706_211503,14,inventory_agent,710,289,999,20260706 211944
20260706_211503,14,orchestrator,2941,94,3035,20260706 211946
20260706_211503,15,inventory_agent,710,273,983,20260706 211955
20260706_211503,15,orchestrator,2951,98,3049,20260706 211957
20260706_211503,16,inventory_agent,710,285,995,20260706 212008
20260706_211503,16,inventory_agent,710,272,982,20260706 212016
20260706_211503,16,orchestrator,4871,168,5039,20260706 212018
20260706_211503,17,inventory_agent,710,246,956,20260706 212026
20260706_211503,17,quoting_agent,682,53,735,20260706 212032
20260706_211503,17,sales_agent,1132,102,1234,20260706 212033
20260706_211503,17,orchestrator,4668,216,4884,20260706 212035
20260706_211503,18,inventory_agent,710,286,996,20260706 212046
20260706_211503,18,quoting_agent,682,53,735,20260706 212052
20260706_211503,18,orchestrator,2930,139,3069,20260706 212052
20260706_211503,19,inventory_agent,710,269,979,20260706 212100
20260706_211503,19,sales_agent,1136,91,1227,20260706 212107
20260706_211503,19,sales_agent,1140,112,1252,20260706 212111
20260706_211503,19,quoting_agent,686,55,741,20260706 212115
20260706_211503,19,orchestrator,6573,278,6851,20260706 212117
20260706_211503,20,inventory_agent,710,296,1006,20260706 212128
20260706_211503,20,orchestrator,2944,93,3037,20260706 212130
